gender,AGEGRP,sp50hcereal,sp50ccereal,sp50icecream,sp50regsoda,sp50sportfrdrnk,sp50cookietc,sp50donut,sp50sugincof,sp50candy,dp50cheese,dp50pizza,dp50milk,dp50icecream,vp50frtj,vp50fruit,vp50salad,vp50othpot,vp50drbean,vp50othveg,vp50frfry,vp50tomsc,vp50salsa,vp50pizza,gp50hcereal,gp50ccereal,gp50whgrd,gp50popcorn,gp50brownrice,gp50cheese,gp50pizza,gp50milk,gp50icecream,gp50regsoda,gp50sportfrdrnk,gp50cookietc,gp50donut,gp50sugincof,gp50candy,gp50frtj,gp50fruit,gp50salad,gp50othpot,gp50drbean,gp50othveg,gp50frfry,gp50tomsc,gp50salsa, 
1,12,0.000000,2.515333,4.680000,9.302000,8.113458,3.735000,3.517150,3.000186,3.054975,0.595350,1.325659,1.000400,0.264000,1.147570,0.867300,0.400500,0.930000,0.563000,0.410901,0.548055,0.925000,0.265000,0.693760,234.000000,56.310000,52.000000,39.880000,159.000000,29.414338,265.070000,250.000000,116.380000,370.900000,458.560000,50.000000,64.500000,25.200000,24.675000,287.083333,120.835000,40.315000,160.500000,119.356000,74.250000,88.000000,158.175000,43.380000,
1,13,0.000000,1.594763,4.508965,8.994700,7.558200,3.192000,4.289115,2.000000,2.974000,0.586278,1.166539,1.000000,0.271000,0.999440,0.813000,0.499950,0.809676,0.480533,0.431000,0.545000,0.861500,0.206392,0.759000,234.000000,50.750000,50.666667,37.500000,115.785000,29.988000,255.820000,244.000000,118.000000,370.000000,352.190000,45.000000,80.500000,10.400000,22.500000,248.000000,118.000000,53.845000,157.500000,101.872890,75.422500,85.000000,147.316500,31.130000,
1,14,0.000000,1.449000,3.691000,8.994700,5.439624,3.230824,2.789390,2.120544,2.359090,0.518500,1.113000,0.833333,0.220448,0.812045,0.715500,0.407500,0.809676,0.377000,0.442680,0.455000,0.861800,0.132000,0.542720,234.000000,43.030000,43.000000,51.840000,115.785000,25.901400,213.120000,205.116000,95.500000,368.400000,252.000000,48.000000,60.000000,12.500000,20.000000,201.500000,109.500000,43.500000,142.500000,79.924000,75.100000,85.500000,147.367800,29.250000,
1,15,0.000000,1.127508,3.849000,7.889000,5.439624,2.667387,3.127400,2.222844,2.445380,0.505700,0.726591,0.781563,0.226000,0.780813,0.713000,0.388810,0.536000,0.411000,0.375000,0.444000,0.486000,0.231000,0.293000,215.345000,39.000000,44.000000,44.565000,115.785000,25.850000,132.320000,198.250000,93.670000,335.500000,248.000000,40.000000,65.000000,12.600000,20.925000,193.750000,109.500000,41.250000,120.375000,87.132000,60.830000,72.750000,83.106000,32.000000,
2,1,0.958000,1.536500,2.477200,3.144742,3.822525,1.810160,2.405700,1.932288,2.098600,0.357000,0.471123,0.666931,0.061880,0.734557,0.531500,0.249975,0.499800,0.247050,0.241000,0.272000,0.323700,0.053040,0.198327,175.500000,22.500000,26.000000,12.500000,65.340000,18.500000,98.670000,162.666667,59.333333,124.000000,198.250000,23.250000,52.000000,148.000000,15.715000,184.385556,81.330000,27.500000,83.500000,52.374600,38.750000,42.400000,55.352700,8.000000,
2,2,0.909737,2.191694,3.156580,4.719204,4.258716,2.417000,2.593800,1.932288,2.120000,0.411180,0.658000,0.781750,0.146965,0.754416,0.632000,0.268000,0.500000,0.346000,0.250000,0.293000,0.387810,0.056500,0.256500,154.000000,28.880000,31.500000,14.440000,65.340000,21.150720,100.000000,191.895000,77.585000,201.500000,203.130000,27.840000,54.000000,148.000000,17.500000,187.500000,101.000000,29.220000,105.000000,73.352000,47.813333,49.625000,66.315510,7.785000,
2,3,1.915760,2.107000,2.774000,5.364167,4.617000,2.752750,2.659300,2.572000,1.451500,0.370440,0.863877,0.802333,0.153000,0.749580,0.650160,0.218000,0.500000,0.390320,0.333426,0.455500,0.370000,0.231000,0.290000,154.000000,31.000000,36.000000,24.000000,65.340000,18.625000,142.500000,198.250000,78.000000,246.333333,209.000000,34.250000,53.000000,207.200000,14.000000,186.250000,106.000000,21.043333,105.000000,82.747840,56.250000,72.583333,63.270000,32.000000,
2,4,0.000000,3.338100,3.785000,6.288856,5.028540,3.225000,3.664865,2.572000,2.248833,0.461790,0.700196,0.812520,0.165330,0.798096,0.660667,0.208500,0.562478,0.217736,0.302000,0.272425,0.460802,0.154148,0.248400,126.970000,39.505000,26.000000,22.000000,65.340000,24.400000,117.290000,203.125000,86.530000,257.433333,228.500000,38.566667,60.000000,207.200000,18.000000,198.300000,101.422500,22.166667,105.000000,46.160053,57.916667,58.000000,78.797159,23.250000,
2,5,1.915760,3.548396,4.775000,7.875000,5.019210,3.115333,3.296500,2.650680,2.248500,0.518500,0.740715,1.000000,0.190000,0.815000,0.812333,0.250000,0.715000,0.357500,0.349000,0.456713,0.517080,0.106080,0.300000,181.500000,43.880000,48.000000,19.690000,159.000000,26.822740,156.510000,246.178571,99.750000,328.660000,250.000000,40.000000,56.000000,305.866667,15.066667,203.130000,122.500000,27.500000,131.000000,75.790000,66.125000,70.000000,88.420680,16.000000,
2,6,0.909737,3.109000,2.977730,7.889000,5.091030,2.679119,4.395000,2.650680,2.618980,0.511000,0.717858,1.030500,0.183000,1.000980,0.858980,0.203500,0.515485,0.562118,0.264000,0.493592,0.776000,0.412718,0.319783,73.130000,44.065000,52.000000,28.000000,159.000000,26.753850,127.170000,256.166667,74.810000,368.000000,277.875000,34.000000,70.000000,305.866667,24.500000,249.000000,118.000000,22.345000,105.000000,119.168910,72.000000,71.100000,132.696000,62.000000,
2,7,0.000000,3.818813,4.063000,8.984976,8.157000,2.790000,4.395000,3.494000,2.618980,0.526000,0.858929,1.000000,0.194480,1.103333,0.845610,0.291000,0.749700,0.320000,0.323000,0.455500,0.587000,0.112000,0.350000,262.440000,46.875000,48.000000,37.500000,217.000000,27.155250,168.500000,244.000000,100.000000,368.400000,396.500000,38.000000,78.000000,274.300000,21.800000,282.460000,118.000000,29.190000,157.500000,67.840000,70.500000,69.000000,100.377000,15.560000,
2,8,1.546000,3.043425,5.006500,9.428160,7.391000,2.468400,3.463040,3.494000,2.722667,0.584210,1.040520,1.000400,0.220440,1.300000,0.867000,0.374963,0.501000,0.406725,0.276250,0.543178,0.525000,0.154148,0.444000,242.000000,49.940000,52.000000,33.416667,217.000000,29.547000,189.440000,250.000000,132.000000,394.733333,357.940000,32.400000,62.250000,274.300000,26.000000,322.660000,118.000000,37.155000,128.670000,86.225700,63.299000,85.000000,89.775000,23.780000,
2,9,0.000000,2.827000,3.509870,9.346200,7.258570,2.661000,4.191040,3.053667,2.703000,0.500250,0.878526,1.042083,0.198000,1.242252,0.764240,0.318225,0.749700,0.390000,0.308000,0.480000,0.624000,0.129000,0.433541,248.630000,41.000000,48.000000,25.380000,139.130000,25.384278,180.960000,266.875000,92.375000,392.100000,357.940000,37.000000,81.500000,220.880000,22.750000,313.875000,118.000000,33.606667,144.750000,82.680000,63.950000,72.500000,106.704000,22.500000,
2,10,0.000000,2.585755,3.875520,8.947000,7.493000,3.340980,3.112720,2.884500,2.121000,0.471000,0.853000,1.000000,0.201000,1.003392,0.750000,0.395500,0.500000,0.342000,0.361100,0.446660,0.480000,0.212160,0.444000,211.750000,45.000000,45.500000,35.000000,139.130000,24.250000,168.390000,245.000000,99.750000,369.000000,355.500000,44.550000,64.000000,132.865000,19.800000,263.500000,115.750000,41.250000,122.000000,72.504000,66.500000,68.333333,82.080000,31.130000,
2,11,0.000000,2.393280,3.300180,7.953000,6.451665,3.651000,3.127000,2.827392,2.275000,0.470000,0.851482,0.968000,0.205000,1.000000,0.739187,0.500000,0.697000,0.321000,0.333200,0.444000,0.388000,0.174877,0.432000,234.000000,45.000000,42.250000,30.400000,164.000000,23.496000,161.005000,244.000000,92.000000,368.200000,332.060000,51.680000,65.000000,89.900000,20.500000,248.800000,107.000000,55.000000,127.000000,68.052000,58.907500,70.000000,66.348000,29.250000,
2,12,0.000000,1.843222,3.094000,8.617500,6.230040,3.208920,2.781216,2.153000,2.248500,0.469920,0.968774,0.999000,0.226980,1.000000,0.775915,0.500000,0.555500,0.333000,0.389714,0.385000,0.537240,0.206392,0.431609,175.500000,39.380000,46.000000,26.500000,164.000000,23.500000,157.790000,244.000000,88.750000,368.400000,321.560000,48.750000,64.000000,21.000000,18.000000,248.800000,117.000000,46.876667,125.000000,70.596000,62.480000,61.000000,91.868040,31.130000,
2,13,0.000000,0.793000,2.949000,7.865340,6.798000,2.821134,3.242000,1.983456,2.098600,0.461080,0.988000,0.750300,0.192889,0.813000,0.742000,0.437502,0.570960,0.341398,0.396680,0.455275,0.563000,0.138705,0.488653,181.500000,39.380000,40.000000,22.800000,98.000000,23.187780,176.000000,187.577500,89.000000,366.000000,252.800000,41.000000,66.000000,30.000000,18.000000,202.310000,107.000000,48.125000,118.130000,72.376418,67.500000,72.000000,96.273000,20.750000,
2,14,0.000000,0.972800,3.350500,7.295500,4.536750,2.729500,3.150500,1.982667,1.858320,0.469920,0.992000,0.750000,0.221000,0.749580,0.633000,0.375000,0.666000,0.323400,0.389083,0.444000,0.710000,0.231000,0.569016,204.750000,30.625000,37.000000,28.000000,98.000000,23.500000,250.830000,183.750000,88.665000,307.000000,205.560000,40.000000,62.000000,42.380000,16.000000,186.000000,100.500000,41.250000,116.220000,68.560800,63.416667,66.000000,121.410000,32.000000,
2,15,0.000000,0.789570,3.300180,5.917000,4.113113,2.572640,2.383229,1.382000,1.686480,0.432075,0.713000,0.708500,0.194480,0.750000,0.632000,0.333500,0.515000,0.305000,0.347200,0.320000,0.336660,0.097852,0.390861,167.340000,30.000000,29.000000,28.000000,98.000000,21.700000,145.395000,183.000000,78.000000,248.000000,183.600000,40.000000,56.000000,8.400000,14.000000,186.600000,104.282500,32.655000,112.500000,64.660000,61.080000,57.000000,57.568860,17.800000,
